date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:54	526/526	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-20e%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/email-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/email-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:55	323/323	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-143%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/email-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/email-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:55	1325/1325	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-52d%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/behance-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/behance-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:56	876/876	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-36c%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/behance-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/behance-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:56	1775/1775	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-6ef%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/dribbble-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/dribbble-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:56	1027/1027	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-403%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/dribbble-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/dribbble-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:57	1169/1169	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-491%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/github-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/github-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:57	762/762	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-2fa%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/github-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/github-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:58	955/955	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-3bb%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/facebook-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/facebook-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:58	620/620	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-26c%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/facebook-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/facebook-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:58	1167/1167	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-48f%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/twitter-dark.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/twitter-dark.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
17:54:58	745/745	---M--	200	added ('OK')	image/png	etag:%22556ee4e6-2e9%22	http://www.abhishekmondal.branded.me/shared/themes/default/img/icon/twitter-light.png	C:/My%20Web%20Sites/Abhishek_Mondal/www.abhishekmondal.branded.me/shared/themes/default/img/icon/twitter-light.png	(from http://www.abhishekmondal.branded.me/shared/themes/default/css/core/style.css)
